SysMon Performance Report
CHIPSET:   SM8250
SUBSYSTEM:   CDSP
Q6 VERSION:  66(L2+TCM:1MB)

OVERALL SUMMARY

Group Index,Packets range,Start time,End time,Total Time(sec),Deep sleep(sec),idle time(sec),active time(sec),MPPS,HVX MPPS,HVX Invokes,QDSP6 load in MHz,AXI_RD_BW in MBps,AXI_WR_BW in MBps,QDSP6 Utilization %

0,91:3062,0:13:59:360,0:14:6:181,6.821,4.546,0.009,2.330,1028.42,893.38,324,1034.35,3701.51,699.70,24
Group 0 - 
Processor summary: 

Metric,Unit,Average,Maximum

Core Metrics 

MPPS,MPackets/sec,1028.42,2194.28
pCPP,cycles/Packet,1.01,19.22
QDSP6 load,MCPS,1034.35,1502.07

Bus Metrics 

AXI_RD_BW_128B,MBps,3701.51,12454.07
AXI_WR_BW_128B,MBps,699.70,7430.84

L1 Metrics 


Core stall Metrics 

IU stalls,MCPS,77.52,277.71

Instruction type Metrics 


Clock Metrics 

QDSP6 load,MCPS,1034.35,1502.07
Final_DSP_Clock,MHz,1478.15,1497.60
Final_MemNoc_Clock_Vote,MHz,637.43,649.80
Final_MemNoc_Clock_Projected,MHz,1006.24,1020.00
Static_core_clk_vote,MHz,1376.91,1402.00
Static_MemNoc_clk_vote,MHz,637.43,649.80
Static_MemNoc_clk_Projected,MHz,1006.24,1020.00
Measured SNOC clock,MHz,240.00,240.00
Measured MEMNOC clock,MHz,2739.73,2739.73


Heap Metrics 

AMSS_Heap_available_total,MB,0.51,0.53
AMSS_Heap_available_max,MB,0.45,0.45


BLC Metrics 

BLC_Latency_per_txn,ns,309.76,747.73
BLC_Latency_per_read_request,ns,10.82,747.20
BLC_average_overlap_reads,count,25.00,45.00

HVX Summary
Metric,Unit,Average,Maximum

HVX Core Metrics 

HVX MPPS,MPPS,893.38,2038.97

HVX L2 Metrics 

L2FETCH_MISS,MBps,360.11,1062.98
HVX L2 load miss,MBps,90.59,11405.60

HVX stall Metrics 

HVX L2 load stalls,MCycles/sec,102.38,2461.44

HVX invoke stats:API - 1,Invokes detected : 1

Metric,Unit,Average,Maximum
HVX active time,ms,2.00,0.00
Total cycles,MCycles,1.52,1.52
Total Packets,MPackets,0.72,0.72
128B_DDR read,MB,4.63,4.63
128B_DDR write,MB,3.56,3.56
HVX Packets,MPackets,0.13,0.13

HVX invoke stats:API - 2,Invokes detected : 3

Metric,Unit,Average,Maximum
HVX active time,ms,5.67,6.00
Total cycles,MCycles,5.83,7.04
Total Packets,MPackets,1.09,1.39
128B_DDR read,MB,24.24,28.59
128B_DDR write,MB,15.66,17.66
HVX Packets,MPackets,0.42,0.46

HVX invoke stats:API - 3,Invokes detected : 18

Metric,Unit,Average,Maximum
HVX active time,ms,23.33,43.00
Total cycles,MCycles,25.43,47.68
Total Packets,MPackets,23.19,43.55
128B_DDR read,MB,89.79,169.21
128B_DDR write,MB,18.81,35.75
L2FETCH DDR reads,MB,12.35,23.83
HVX Packets,MPackets,20.03,37.66

HVX invoke stats:API - 4,Invokes detected : 262

Metric,Unit,Average,Maximum
HVX active time,ms,7.63,14.00
Total cycles,MCycles,7.74,14.98
Total Packets,MPackets,7.09,12.68
128B_DDR read,MB,27.40,49.84
128B_DDR write,MB,5.71,11.17
L2FETCH DDR reads,MB,3.74,7.95
HVX Packets,MPackets,6.13,10.83

HVX invoke stats:API - 5,Invokes detected : 12

Metric,Unit,Average,Maximum
HVX active time,ms,13.08,14.00
Total cycles,MCycles,13.83,14.96
Total Packets,MPackets,12.48,12.67
128B_DDR read,MB,48.48,49.78
128B_DDR write,MB,10.29,11.12
L2FETCH DDR reads,MB,6.90,7.89
HVX Packets,MPackets,10.76,10.81

HVX invoke stats:API - 7,Invokes detected : 1

Metric,Unit,Average,Maximum
HVX active time,ms,49.00,0.00
Total cycles,MCycles,54.22,54.22
Total Packets,MPackets,49.80,49.80
128B_DDR read,MB,193.37,193.37
128B_DDR write,MB,40.74,40.74
L2FETCH DDR reads,MB,27.19,27.19
HVX Packets,MPackets,43.04,43.04
