HVX start time, HVX end time, total active time(ms), total pcycles(Mcycles),total Mpackets, HVX Mpackets, Total DDR read(MB), Total DDR write(MB)
0:14:0:82, 0:14:0:83, 2.00,1.52,0.72,0.13,4.63,3.56
0:14:0:124, 0:14:0:135, 6.00,5.42,1.39,0.46,20.91,14.23
0:14:0:150, 0:14:0:154, 5.00,5.04,0.99,0.44,28.59,17.66
0:14:0:175, 0:14:0:184, 6.00,7.04,0.90,0.35,23.22,15.08
0:14:0:265, 0:14:0:307, 26.00,30.18,25.50,21.46,95.45,19.98
0:14:0:308, 0:14:0:320, 7.00,6.93,6.23,5.38,24.13,5.09
0:14:0:321, 0:14:0:344, 13.00,13.66,12.44,10.76,48.24,10.17
0:14:0:345, 0:14:0:356, 7.00,6.86,6.23,5.38,24.12,5.08
0:14:0:358, 0:14:0:361, 2.00,1.02,0.21,0.05,1.39,0.91
0:14:0:362, 0:14:0:376, 6.00,5.91,6.09,5.38,23.18,4.11
0:14:0:379, 0:14:0:381, 2.00,1.30,0.21,0.05,1.51,0.93
0:14:0:382, 0:14:0:388, 5.00,5.79,6.01,5.32,22.51,4.05
0:14:0:389, 0:14:0:412, 13.00,13.69,12.43,10.76,48.25,10.18
0:14:0:413, 0:14:0:424, 7.00,6.78,6.22,5.38,24.12,5.07
0:14:0:425, 0:14:0:436, 7.00,6.83,6.21,5.38,24.12,5.09
0:14:0:437, 0:14:0:448, 7.00,6.80,6.24,5.38,24.14,5.08
0:14:0:449, 0:14:0:460, 7.00,6.96,6.23,5.38,24.15,5.10
0:14:0:461, 0:14:0:473, 7.00,6.83,6.22,5.38,24.12,5.09
0:14:0:474, 0:14:0:485, 7.00,6.76,6.23,5.38,24.17,5.11
0:14:0:486, 0:14:0:527, 25.00,27.16,25.03,21.52,96.93,20.60
0:14:0:533, 0:14:0:582, 26.00,27.65,25.00,21.60,97.60,20.55
0:14:0:583, 0:14:0:597, 7.00,6.90,6.25,5.38,24.12,5.09
0:14:0:598, 0:14:0:609, 7.00,6.81,6.22,5.38,24.13,5.09
0:14:0:610, 0:14:0:620, 7.00,6.76,6.21,5.38,24.12,5.08
0:14:0:621, 0:14:0:641, 13.00,13.69,12.45,10.76,48.46,10.28
0:14:0:642, 0:14:0:652, 7.00,6.83,6.22,5.38,24.12,5.09
0:14:0:653, 0:14:0:664, 7.00,6.82,6.21,5.38,24.12,5.09
0:14:0:665, 0:14:0:679, 7.00,6.81,6.22,5.38,24.16,5.09
0:14:0:680, 0:14:0:691, 7.00,7.04,6.42,5.38,24.25,5.10
0:14:0:692, 0:14:0:705, 7.00,6.94,6.24,5.38,24.13,5.14
0:14:0:706, 0:14:0:719, 7.00,6.84,6.23,5.38,24.13,5.10
0:14:0:720, 0:14:0:731, 7.00,6.86,6.21,5.38,24.14,5.10
0:14:0:732, 0:14:0:743, 7.00,6.79,6.22,5.38,24.12,5.08
0:14:0:744, 0:14:0:765, 13.00,13.72,12.48,10.76,48.42,10.24
0:14:0:766, 0:14:0:778, 7.00,6.85,6.21,5.38,24.12,5.09
0:14:0:779, 0:14:0:783, 2.00,0.99,0.20,0.05,1.38,0.91
0:14:0:784, 0:14:0:791, 5.00,5.81,6.01,5.32,22.54,4.03
0:14:0:792, 0:14:0:815, 13.00,13.74,12.45,10.76,48.28,10.19
0:14:0:816, 0:14:0:828, 7.00,6.84,6.21,5.38,24.12,5.09
0:14:0:829, 0:14:0:841, 7.00,6.81,6.22,5.38,24.12,5.08
0:14:0:842, 0:14:0:853, 7.00,6.83,6.23,5.38,24.13,5.09
0:14:0:854, 0:14:0:864, 7.00,6.81,6.23,5.38,24.11,5.09
0:14:0:865, 0:14:0:875, 7.00,6.78,6.22,5.38,24.13,5.09
0:14:0:879, 0:14:0:881, 2.00,1.00,0.22,0.05,1.62,0.95
0:14:0:882, 0:14:0:887, 5.00,5.77,6.01,5.32,22.51,4.01
0:14:0:888, 0:14:0:912, 13.00,14.19,12.64,10.76,48.64,10.27
0:14:0:913, 0:14:0:927, 7.00,6.90,6.23,5.38,24.11,5.08
0:14:0:928, 0:14:0:940, 7.00,6.96,6.22,5.38,24.11,5.08
0:14:0:941, 0:14:0:954, 7.00,6.91,6.23,5.38,24.12,5.08
0:14:0:955, 0:14:0:969, 7.00,6.93,6.24,5.38,24.13,5.09
0:14:0:970, 0:14:0:982, 7.00,6.94,6.23,5.38,24.24,5.10
0:14:0:983, 0:14:1:16, 19.00,20.58,18.71,16.14,72.58,15.35
0:14:1:17, 0:14:1:27, 7.00,6.85,6.22,5.38,24.12,5.08
0:14:1:28, 0:14:1:68, 20.00,20.76,18.77,16.20,73.17,15.38
0:14:1:69, 0:14:1:81, 7.00,6.89,6.22,5.38,24.12,5.09
0:14:1:83, 0:14:1:87, 2.00,0.97,0.20,0.05,1.38,0.91
0:14:1:88, 0:14:1:93, 5.00,5.83,6.18,5.32,22.77,4.15
0:14:1:94, 0:14:1:105, 7.00,6.87,6.21,5.38,24.11,5.10
0:14:1:106, 0:14:1:117, 7.00,6.79,6.21,5.38,24.13,5.09
0:14:1:118, 0:14:1:139, 13.00,13.75,12.46,10.76,48.48,10.27
0:14:1:140, 0:14:1:152, 7.00,6.85,6.23,5.38,24.12,5.09
0:14:1:153, 0:14:1:165, 7.00,6.90,6.23,5.38,24.14,5.09
0:14:1:166, 0:14:1:179, 7.00,6.88,6.22,5.38,24.13,5.08
0:14:1:183, 0:14:1:184, 2.00,1.03,0.21,0.05,1.40,0.91
0:14:1:185, 0:14:1:192, 5.00,5.76,6.01,5.32,22.51,4.00
0:14:1:193, 0:14:1:205, 7.00,6.93,6.23,5.38,24.13,5.10
0:14:1:206, 0:14:1:219, 7.00,6.83,6.23,5.38,24.12,5.09
0:14:1:220, 0:14:1:231, 7.00,6.82,6.22,5.38,24.13,5.09
0:14:1:232, 0:14:1:243, 7.00,6.80,6.22,5.38,24.12,5.09
0:14:1:247, 0:14:1:253, 6.00,7.01,6.21,5.37,23.97,4.93
0:14:1:254, 0:14:1:274, 13.00,13.48,12.43,10.76,48.22,10.15
0:14:1:283, 0:14:1:284, 2.00,1.00,0.20,0.05,1.41,0.92
0:14:1:285, 0:14:1:290, 5.00,5.75,6.01,5.32,22.52,4.01
0:14:1:297, 0:14:1:319, 13.00,13.67,12.43,10.76,48.26,10.20
0:14:1:320, 0:14:1:331, 7.00,6.82,6.21,5.38,24.12,5.08
0:14:1:332, 0:14:1:344, 7.00,6.90,6.21,5.38,24.14,5.09
0:14:1:345, 0:14:1:356, 7.00,6.80,6.23,5.38,24.12,5.08
0:14:1:357, 0:14:1:367, 7.00,6.79,6.22,5.38,24.12,5.08
0:14:1:371, 0:14:1:373, 2.00,1.26,0.21,0.05,1.50,0.92
0:14:1:374, 0:14:1:379, 5.00,5.79,6.01,5.32,22.48,4.02
0:14:1:383, 0:14:1:384, 2.00,1.01,0.19,0.05,1.40,0.92
0:14:1:385, 0:14:1:391, 5.00,5.80,6.01,5.32,22.50,4.00
0:14:1:392, 0:14:1:404, 7.00,6.88,6.22,5.38,24.13,5.09
0:14:1:405, 0:14:1:416, 7.00,6.84,6.22,5.38,24.12,5.09
0:14:1:417, 0:14:1:427, 7.00,6.82,6.21,5.38,24.12,5.08
0:14:1:428, 0:14:1:451, 13.00,13.66,12.43,10.76,48.26,10.18
0:14:1:452, 0:14:1:464, 7.00,6.84,6.22,5.38,24.13,5.08
0:14:1:465, 0:14:1:476, 7.00,6.84,6.22,5.38,24.11,5.08
0:14:1:477, 0:14:1:487, 7.00,6.83,6.24,5.38,24.21,5.10
0:14:1:488, 0:14:1:511, 13.00,13.71,12.46,10.76,48.47,10.27
0:14:1:512, 0:14:1:523, 7.00,6.84,6.21,5.38,24.12,5.08
0:14:1:524, 0:14:1:535, 7.00,6.82,6.21,5.38,24.14,5.09
0:14:1:536, 0:14:1:548, 7.00,6.90,6.21,5.38,24.13,5.08
0:14:1:549, 0:14:1:563, 7.00,6.91,6.23,5.38,24.11,5.09
0:14:1:564, 0:14:1:576, 7.00,6.96,6.26,5.38,24.13,5.08
0:14:1:577, 0:14:1:588, 7.00,6.95,6.23,5.38,24.12,5.08
0:14:1:592, 0:14:1:621, 14.00,14.96,12.67,10.81,49.78,11.12
0:14:1:622, 0:14:1:639, 11.00,12.62,12.22,10.70,46.62,9.12
0:14:1:640, 0:14:1:651, 7.00,6.82,6.21,5.38,24.13,5.09
0:14:1:652, 0:14:1:663, 7.00,6.82,6.22,5.38,24.12,5.09
0:14:1:664, 0:14:1:675, 7.00,6.82,6.22,5.38,24.11,5.09
0:14:1:685, 0:14:1:687, 2.00,0.98,0.19,0.05,1.39,0.92
0:14:1:688, 0:14:1:694, 5.00,5.89,6.02,5.32,22.55,4.04
0:14:1:695, 0:14:1:708, 7.00,7.00,6.23,5.38,24.16,5.10
0:14:1:709, 0:14:1:719, 7.00,6.85,6.22,5.38,24.13,5.10
0:14:1:720, 0:14:1:776, 31.00,34.06,31.08,26.90,121.04,25.49
0:14:1:777, 0:14:1:788, 7.00,6.87,6.23,5.38,24.12,5.09
0:14:1:789, 0:14:1:800, 7.00,6.85,6.23,5.38,24.33,5.15
0:14:1:801, 0:14:1:811, 7.00,6.82,6.22,5.38,24.14,5.10
0:14:1:812, 0:14:1:836, 13.00,13.60,12.43,10.76,48.26,10.18
0:14:1:837, 0:14:1:848, 7.00,6.86,6.22,5.38,24.11,5.09
0:14:1:849, 0:14:1:883, 19.00,20.66,18.71,16.14,72.66,15.36
0:14:1:884, 0:14:1:908, 13.00,13.61,12.44,10.76,48.33,10.23
0:14:1:909, 0:14:1:922, 7.00,7.00,6.23,5.38,24.15,5.09
0:14:1:923, 0:14:1:933, 7.00,6.89,6.22,5.38,24.10,5.08
0:14:1:940, 0:14:1:952, 7.00,6.86,6.23,5.38,24.13,5.08
0:14:1:953, 0:14:1:967, 7.00,6.94,6.23,5.38,24.13,5.10
0:14:1:968, 0:14:1:990, 13.00,14.11,12.50,10.76,48.38,10.17
0:14:1:991, 0:14:2:2, 7.00,6.59,6.19,5.38,24.07,5.12
0:14:2:3, 0:14:2:15, 7.00,6.83,6.22,5.38,24.18,5.15
0:14:2:16, 0:14:2:28, 7.00,6.87,6.21,5.38,24.14,5.09
0:14:2:29, 0:14:2:42, 7.00,6.77,6.22,5.38,24.11,5.07
0:14:2:43, 0:14:2:68, 13.00,13.78,12.49,10.76,48.23,10.17
0:14:2:69, 0:14:2:79, 7.00,6.88,6.23,5.38,24.13,5.08
0:14:2:82, 0:14:2:94, 7.00,6.87,6.23,5.38,24.17,5.11
0:14:2:95, 0:14:2:117, 13.00,13.84,12.49,10.76,48.52,10.30
0:14:2:118, 0:14:2:130, 7.00,6.87,6.22,5.38,24.14,5.10
0:14:2:131, 0:14:2:144, 7.00,6.93,6.23,5.38,24.13,5.09
0:14:2:145, 0:14:2:158, 7.00,6.91,6.22,5.38,24.12,5.08
0:14:2:159, 0:14:2:172, 7.00,6.97,6.25,5.38,24.12,5.08
0:14:2:173, 0:14:2:186, 7.00,6.94,6.23,5.38,24.12,5.08
0:14:2:187, 0:14:2:198, 7.00,6.84,6.23,5.38,24.12,5.09
0:14:2:199, 0:14:2:211, 7.00,6.84,6.21,5.38,24.14,5.09
0:14:2:212, 0:14:2:240, 14.00,14.90,12.65,10.81,49.80,11.14
0:14:2:241, 0:14:2:247, 5.00,5.80,6.01,5.32,22.50,4.03
0:14:2:248, 0:14:2:260, 7.00,6.74,6.22,5.38,24.11,5.08
0:14:2:261, 0:14:2:284, 13.00,13.67,12.45,10.76,48.26,10.17
0:14:2:287, 0:14:2:289, 2.00,0.97,0.18,0.05,1.38,0.91
0:14:2:290, 0:14:2:309, 11.00,12.70,12.23,10.70,46.70,9.13
0:14:2:310, 0:14:2:322, 7.00,6.95,6.24,5.38,24.13,5.09
0:14:2:324, 0:14:2:328, 2.00,1.01,0.20,0.05,1.38,0.91
0:14:2:329, 0:14:2:336, 5.00,5.81,6.01,5.32,22.51,4.01
0:14:2:337, 0:14:2:387, 26.00,27.27,24.96,21.57,97.25,20.48
0:14:2:388, 0:14:2:399, 7.00,6.81,6.22,5.38,24.14,5.10
0:14:2:400, 0:14:2:411, 7.00,6.83,6.21,5.38,24.14,5.09
0:14:2:412, 0:14:2:423, 7.00,6.82,6.22,5.38,24.12,5.08
0:14:2:424, 0:14:2:447, 13.00,13.88,12.47,10.76,48.29,10.18
0:14:2:448, 0:14:2:471, 13.00,13.58,12.44,10.76,48.22,10.16
0:14:2:472, 0:14:2:558, 49.00,54.22,49.80,43.04,193.37,40.74
0:14:2:559, 0:14:2:607, 20.00,20.77,18.71,16.16,72.82,15.31
0:14:2:608, 0:14:2:649, 25.00,26.99,24.86,21.52,96.47,20.34
0:14:2:650, 0:14:2:660, 7.00,6.74,6.22,5.38,24.12,5.08
0:14:2:661, 0:14:2:707, 25.00,27.28,24.86,21.52,96.53,20.34
0:14:2:708, 0:14:2:730, 13.00,13.86,12.48,10.76,48.37,10.18
0:14:2:731, 0:14:2:744, 7.00,6.89,6.22,5.38,24.15,5.12
0:14:2:745, 0:14:2:756, 7.00,6.79,6.22,5.38,24.14,5.11
0:14:2:757, 0:14:2:771, 7.00,6.92,6.21,5.38,24.13,5.09
0:14:2:772, 0:14:2:784, 7.00,6.96,6.26,5.38,24.14,5.09
0:14:2:785, 0:14:2:798, 7.00,6.91,6.23,5.38,24.11,5.08
0:14:2:799, 0:14:2:812, 7.00,6.95,6.24,5.38,24.14,5.08
0:14:2:813, 0:14:2:824, 7.00,6.78,6.23,5.38,24.11,5.09
0:14:2:825, 0:14:2:852, 14.00,14.89,12.65,10.81,49.82,11.14
0:14:2:853, 0:14:2:859, 5.00,5.78,6.00,5.32,22.48,4.02
0:14:2:860, 0:14:2:884, 13.00,13.80,12.43,10.76,48.29,10.19
0:14:2:885, 0:14:2:896, 7.00,6.79,6.22,5.38,24.12,5.10
0:14:2:897, 0:14:2:910, 7.00,6.87,6.21,5.38,24.13,5.09
0:14:2:911, 0:14:2:934, 13.00,13.71,12.47,10.76,48.26,10.18
0:14:2:936, 0:14:2:939, 2.00,1.03,0.21,0.05,1.39,0.91
0:14:2:940, 0:14:2:970, 17.00,19.45,18.46,16.08,70.75,14.17
0:14:2:971, 0:14:2:982, 7.00,7.08,6.25,5.38,24.21,5.09
0:14:2:983, 0:14:3:5, 13.00,13.64,12.43,10.76,48.26,10.21
0:14:3:6, 0:14:3:17, 7.00,6.83,6.22,5.38,24.15,5.10
0:14:3:18, 0:14:3:33, 7.00,6.77,6.22,5.38,24.13,5.09
0:14:3:36, 0:14:3:38, 2.00,0.95,0.19,0.05,1.45,0.92
0:14:3:39, 0:14:3:47, 5.00,5.79,6.01,5.32,22.51,4.01
0:14:3:48, 0:14:3:60, 7.00,6.92,6.24,5.38,24.13,5.10
