SysMon Performance Report
CHIPSET:   SM8250
SUBSYSTEM:   CDSP
Q6 VERSION:  66(L2+TCM:1MB)

OVERALL SUMMARY

Group Index,Packets range,Start time,End time,Total Time(sec),Deep sleep(sec),idle time(sec),active time(sec),MPPS,HVX MPPS,HVX Invokes,QDSP6 load in MHz,AXI_RD_BW in MBps,AXI_WR_BW in MBps,QDSP6 Utilization %

0,0:9924,0:20:38:575,0:20:50:565,11.990,1.613,0.000,9.896,578.27,288.79,309,1277.93,866.44,698.27,81

1,9925:12577,0:20:50:683,0:20:53:587,2.904,0.234,0.000,2.659,569.83,281.49,80,1274.23,845.62,681.68,90
Group 0 - 
Processor summary: 

Metric,Unit,Average,Maximum

Core Metrics 

MPPS,MPackets/sec,578.27,2095.75
pCPP,cycles/Packet,2.21,8.40
QDSP6 load,MCPS,1277.93,1326.56

Bus Metrics 

AXI_RD_BW_128B,MBps,866.44,4681.27
AXI_WR_BW_128B,MBps,698.27,5241.79

L1 Metrics 


Core stall Metrics 

IU stalls,MCPS,48.98,339.69

Instruction type Metrics 


Clock Metrics 

QDSP6 load,MCPS,1277.93,1326.56
Final_DSP_Clock,MHz,1304.45,1324.80
Final_MemNoc_Clock_Vote,MHz,419.63,428.64
Final_MemNoc_Clock_Projected,MHz,793.57,806.00
Static_core_clk_vote,MHz,1150.29,1172.00
Static_MemNoc_clk_vote,MHz,419.63,428.64
Static_MemNoc_clk_Projected,MHz,793.57,806.00
Measured SNOC clock,MHz,240.00,240.00
Measured MEMNOC clock,MHz,2739.79,2739.73


Heap Metrics 

AMSS_Heap_available_total,MB,0.51,0.51
AMSS_Heap_available_max,MB,0.45,0.45


BLC Metrics 

BLC_Latency_per_txn,ns,364.99,801.38
BLC_Latency_per_read_request,ns,45.23,800.88
BLC_average_overlap_reads,count,7.00,181.00

HVX Summary
Metric,Unit,Average,Maximum

HVX Core Metrics 

HVX MPPS,MPPS,288.79,1854.84

HVX L2 Metrics 

L2FETCH_MISS,MBps,379.06,4122.14
HVX L2 load miss,MBps,22.57,197.49

HVX stall Metrics 

HVX L2 load stalls,MCycles/sec,52.30,553.30

HVX invoke stats:API - 1,Invokes detected : 309

Metric,Unit,Average,Maximum
HVX active time,ms,9.95,11.00
HVX active+idle time,ms,37.00,188.54
HVX FPS,ms,27.03
Total cycles,MCycles,13.18,14.59
Total Packets,MPackets,11.72,12.02
128B_DDR read,MB,25.45,26.08
128B_DDR write,MB,20.34,20.98
L2FETCH DDR reads,MB,12.14,12.50
HVX Packets,MPackets,9.25,9.44
Group 1 - 
Processor summary: 

Metric,Unit,Average,Maximum

Core Metrics 

MPPS,MPackets/sec,569.83,1944.45
pCPP,cycles/Packet,2.24,7.79
QDSP6 load,MCPS,1274.23,1326.03

Bus Metrics 

AXI_RD_BW_128B,MBps,845.62,4629.63
AXI_WR_BW_128B,MBps,681.68,5210.77

L1 Metrics 


Core stall Metrics 

IU stalls,MCPS,47.94,217.58

Instruction type Metrics 


Clock Metrics 

QDSP6 load,MCPS,1274.23,1326.03
Final_DSP_Clock,MHz,1302.86,1324.80
Final_MemNoc_Clock_Vote,MHz,418.94,428.64
Final_MemNoc_Clock_Projected,MHz,792.62,806.00
Static_core_clk_vote,MHz,1148.56,1172.00
Static_MemNoc_clk_vote,MHz,418.94,428.64
Static_MemNoc_clk_Projected,MHz,792.62,806.00
Measured SNOC clock,MHz,240.00,240.00
Measured MEMNOC clock,MHz,2739.71,2739.73


Heap Metrics 

AMSS_Heap_available_total,MB,0.51,0.51
AMSS_Heap_available_max,MB,0.45,0.45


BLC Metrics 

BLC_Latency_per_txn,ns,370.86,782.00
BLC_Latency_per_read_request,ns,45.29,731.43
BLC_average_overlap_reads,count,7.00,23.00

HVX Summary
Metric,Unit,Average,Maximum

HVX Core Metrics 

HVX MPPS,MPPS,281.49,1822.35

HVX L2 Metrics 

L2FETCH_MISS,MBps,369.96,4105.27
HVX L2 load miss,MBps,21.73,178.93

HVX stall Metrics 

HVX L2 load stalls,MCycles/sec,49.43,532.10

HVX invoke stats:API - 1,Invokes detected : 80

Metric,Unit,Average,Maximum
HVX active time,ms,9.95,10.00
HVX active+idle time,ms,38.91,47.29
HVX FPS,ms,25.70
Total cycles,MCycles,13.19,13.27
Total Packets,MPackets,11.72,11.89
128B_DDR read,MB,25.54,25.99
128B_DDR write,MB,20.41,21.02
L2FETCH DDR reads,MB,12.14,12.29
HVX Packets,MPackets,9.24,9.37
