HVX start time, HVX end time, total active time(ms), total pcycles(Mcycles),total Mpackets, HVX Mpackets, Total DDR read(MB), Total DDR write(MB)
0:20:38:998, 0:20:39:6, 9.00,11.93,11.33,9.21,24.25,19.24
0:20:39:32, 0:20:39:41, 10.00,13.25,11.79,9.22,25.47,20.26
0:20:39:63, 0:20:39:72, 10.00,13.26,11.75,9.24,25.80,20.58
0:20:39:97, 0:20:39:106, 10.00,13.26,11.75,9.24,25.56,20.47
0:20:39:133, 0:20:39:142, 10.00,13.26,11.73,9.24,25.67,20.53
0:20:39:170, 0:20:39:179, 10.00,13.26,11.75,9.24,25.89,20.61
0:20:39:199, 0:20:39:208, 10.00,13.26,11.77,9.24,25.74,20.62
0:20:39:235, 0:20:39:243, 9.00,11.92,11.36,9.26,24.27,19.46
0:20:39:276, 0:20:39:285, 10.00,13.26,11.72,9.26,25.76,20.51
0:20:39:311, 0:20:39:320, 10.00,13.26,11.76,9.25,25.66,20.63
0:20:39:345, 0:20:39:354, 10.00,13.26,11.72,9.24,25.46,20.37
0:20:39:381, 0:20:39:390, 10.00,13.26,11.72,9.24,25.71,20.49
0:20:39:416, 0:20:39:424, 9.00,11.93,11.41,9.24,24.34,19.41
0:20:39:446, 0:20:39:455, 10.00,13.26,11.75,9.23,25.66,20.47
0:20:39:480, 0:20:39:489, 10.00,13.26,11.71,9.24,25.54,20.36
0:20:39:518, 0:20:39:526, 9.00,11.93,11.36,9.22,24.35,19.37
0:20:39:550, 0:20:39:559, 10.00,13.26,11.81,9.27,25.87,20.75
0:20:39:580, 0:20:39:589, 10.00,13.25,11.75,9.25,25.67,20.60
0:20:39:610, 0:20:39:619, 10.00,13.26,11.76,9.24,25.70,20.52
0:20:39:642, 0:20:39:651, 10.00,13.25,11.72,9.23,25.65,20.55
0:20:39:678, 0:20:39:687, 10.00,13.26,11.78,9.27,25.74,20.63
0:20:39:715, 0:20:39:724, 10.00,13.26,11.75,9.27,25.83,20.76
0:20:39:753, 0:20:39:762, 10.00,13.26,11.64,9.23,25.29,20.26
0:20:39:791, 0:20:39:800, 10.00,13.25,11.73,9.22,25.49,20.36
0:20:39:831, 0:20:39:840, 10.00,13.25,11.76,9.22,25.53,20.27
0:20:39:867, 0:20:39:876, 10.00,13.26,11.73,9.23,25.42,20.27
